-16.4047941,-71.5289543
-16.4051509,-71.5293661
-16.4055776,-71.5289449
-16.4053412,-71.5286572
-16.4057382,-71.5283196
-16.4062905,-71.5290059
-16.4065286,-71.5292856
-16.4070098,-71.5289195
-16.4074108,-71.5286144
-16.4076392,-71.5284333
-16.4081561,-71.5280434
-16.4075071,-71.5271337
-16.4081062,-71.5266817
-16.4084173,-71.5265734
-16.4086672,-71.526433
-16.4091997,-71.5261058
-16.4086489,-71.5252981
-16.4083249,-71.5247804
-16.4087814,-71.5244438
-16.4085313,-71.5239074
-16.4089643,-71.5237093
-16.4097059,-71.523334
-16.4099559,-71.5230805
-16.4100232,-71.5227717
-16.4097677,-71.5224823
-16.4095338,-71.5220577
-16.4082753,-71.5215783
-16.4081446,-71.5215312
